Title,Image,Unit,Label,Info,propertysmallicon,propertysmallicon1,propertysmallicon2,Type,propertysmallicon3,propertysmallicon4,Description,Tag,dflex,currency,Price
Comfort 2BR Apartment at Menteng Square By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 30 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,30 sqm,4.8,"
                                        Menteng, Apartemen Menteng Square
                                    ",3 Orang,"IDR
5,140,000
 / bulan",IDR, / bulan
Comfy and Modern 2BR Seasons City Apartment with City View By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 42 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,42 sqm,5.0,"
                                        Tambora, Apartemen Seasons City Latumenten
                                    ",3 Orang,"IDR
6,440,000
 / bulan",IDR, / bulan
Best Deal Studio Apartment at Mangga Dua Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment Studio 1 26 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,26 sqm,4.9,"
                                        Mangga Dua, Apartemen Mangga Dua
                                    ",2 Orang,"IDR
3,240,000
 / bulan",IDR, / bulan
Studio Kebayoran Icon Apartment near Gandaria City Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,5 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.9,"
                                        Kebayoran Lama, Apartemen Kebayoran Icon
                                    ",2 Orang,"IDR
4,890,000
 / bulan",IDR, / bulan
Restful Studio Room Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,112,890
 / bulan",IDR, / bulan
Spacious and Comfort Stay 3BR Green Bay Pluit Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 3 1 49 sqm | New |Full Furnished
                                    
                                ",Apartment,3,1,Full Furnished,49 sqm,New,"
                                        Pluit, Apartemen Green Bay Pluit
                                    ",4 Orang,"IDR
6,140,000
 / bulan",IDR, / bulan
Great Location and Homey Studio Gold Coast Apartment near PIK By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 28 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,28 sqm,5.0,"
                                        Pantai Indah Kapuk, Apartemen Gold Coast
                                    ",2 Orang,"IDR
7,450,000
 / bulan",IDR, / bulan
Simply and Compact Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,490,000
 / bulan",IDR, / bulan
Compact and Nice Studio Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.8,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,140,000
 / bulan",IDR, / bulan
Modern and Comfortable Studio at Green Sedayu Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 28 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,28 sqm,New,"
                                        Cengkareng, Apartemen Green Sedayu
                                    ",2 Orang,"IDR
5,490,000
 / bulan",IDR, / bulan
Comfort Studio Room at Kebagusan City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Limited Time,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.8,"
                                        Kebagusan, Apartemen Kebagusan City
                                    ",2 Orang,"IDR
3,140,000
 / bulan",IDR, / bulan
Nice and Comfy 2BR Signature Park Tebet Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 1 38 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,38 sqm,5.0,"
                                        Tebet, Apartemen Signature Park Tebet
                                    ",3 Orang,"IDR
6,240,000
 / bulan",IDR, / bulan
Good Location with Simply Furnished 1BR Apartment Woodland Park Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 1 1 40 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,40 sqm,4.9,"
                                        Kalibata, Apartemen Woodland Park Residence
                                    ",2 Orang,"IDR
6,000,001
 / bulan",IDR, / bulan
Best Price 3BR at Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment 3 1 43 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,3,1,Full Furnished,43 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",4 Orang,"IDR
6,090,000
 / bulan",IDR, / bulan
Simply Furnished Studio at Menteng Park Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 33 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,33 sqm,5.0,"
                                        Menteng, Apartemen Menteng Park
                                    ",2 Orang,"IDR
8,240,000
 / bulan",IDR, / bulan
Cozy Living 1BR Bellezza Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 52 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,52 sqm,5.0,"
                                        Permata Hijau, Apartemen Bellezza
                                    ",2 Orang,"IDR
9,788,300
 / bulan",IDR, / bulan
Cozy Living 2BR Apartment at Bassura City near Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment 2 1 34 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,34 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",3 Orang,"IDR
3,540,000
 / bulan",IDR, / bulan
Warm and Comfort Stay 2BR at Green Park View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 2 1 33 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,33 sqm,5.0,"
                                        Daan Mogot, Apartemen Green Park View
                                    ",3 Orang,"IDR
3,720,000
 / bulan",IDR, / bulan
Comfortable and Simple Studio at Sunter Park View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 22 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,22 sqm,5.0,"
                                        Sunter, Apartemen Sunter Park View
                                    ",2 Orang,"IDR
3,140,000
 / bulan",IDR, / bulan
Comfort and Homey 2BR at Pluit Sea View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 42 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,42 sqm,4.9,"
                                        Pluit, Apartemen Pluit Sea View
                                    ",4 Orang,"IDR
3,750,000
 / bulan",IDR, / bulan
Good Choice and Homey 2BR Apartment at Belmont Residence Puri By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,New,"
                                    
                                    
                                        
                                        apartment 2 1 43 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,43 sqm,5.0,"
                                        Kembangan, Apartemen Belmont Residence Puri
                                    ",3 Orang,"IDR
6,340,000
 / bulan",IDR, / bulan
Great Choice and Homey 2BR at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 36 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,36 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",3 Orang,"IDR
4,440,000
 / bulan",IDR, / bulan
Good Deal and Comfort 2BR at Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 34 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,34 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",3 Orang,"IDR
4,840,000
 / bulan",IDR, / bulan
Elegant 2BR at The Mansion Kemayoran Apartment near JIEXPO Kemayoran By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 60 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,60 sqm,5.0,"
                                        Kemayoran, Apartemen The Mansion Bougenville Kemayoran
                                    ",4 Orang,"IDR
7,727,050
 / bulan",IDR, / bulan
Modern 2BR at at Bellezza Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 2 81 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,81 sqm,5.0,"
                                        Permata Hijau, Apartemen Bellezza
                                    ",4 Orang,"IDR
13,500,000
 / bulan",IDR, / bulan
Spacious and Nice 2BR at Puri Orchard Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 50 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,50 sqm,5.0,"
                                        Cengkareng, Apartemen Puri Orchard
                                    ",3 Orang,"IDR
6,740,000
 / bulan",IDR, / bulan
Warm and Comfortable Studio Room at Tifolia Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        Pulo Gadung, Apartemen Tifolia
                                    ",2 Orang,"IDR
3,690,000
 / bulan",IDR, / bulan
Comfy and Minimalist Studio at City Home Gading Riverview (MOI) Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 37 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,37 sqm,5.0,"
                                        Kelapa Gading, Apartemen City Home Gading Riverview (MOI)
                                    ",2 Orang,"IDR
5,600,000
 / bulan",IDR, / bulan
Madison Park 2BR Apartment near To Central Park By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment 2 1 52 sqm | 4.6 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,52 sqm,4.6,"
                                        Tanjung Duren, Apartemen Madison Park
                                    ",3 Orang,"IDR
6,740,000
 / bulan",IDR, / bulan
Good and Homey 2BR at Nifarro Park Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 2 1 51 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,51 sqm,4.8,"
                                        Pasar Minggu, Apartemen Nifarro Park
                                    ",3 Orang,"IDR
7,150,000
 / bulan",IDR, / bulan
Cozy Studio at 7th Floor Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,200,000
 / bulan",IDR, / bulan
Wonderful and Homey 3BR Green Sedayu Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 3 2 62 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,3,2,Full Furnished,62 sqm,5.0,"
                                        Cengkareng, Apartemen Green Sedayu
                                    ",4 Orang,"IDR
12,000,000
 / bulan",IDR, / bulan
Homey 2BR at Green Bay Pluit Apartment near Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 37 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,37 sqm,5.0,"
                                        Pluit, Apartemen Green Bay Pluit
                                    ",4 Orang,"IDR
4,860,000
 / bulan",IDR, / bulan
Modern Look and Cozy Studio at Puri Orchard Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment Studio 1 35 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,35 sqm,New,"
                                        Cengkareng, Apartemen Puri Orchard
                                    ",2 Orang,"IDR
4,040,000
 / bulan",IDR, / bulan
Wonderful and Homey 2BR at Kuningan Place Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 2 1 61 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,61 sqm,5.0,"
                                        Setiabudi, Apartemen Kuningan Place
                                    ",3 Orang,"IDR
8,300,000
 / bulan",IDR, / bulan
Fully Furnished and Modern Studio at Tokyo Riverside Apartment PIK 2 By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
2,740,000
 / bulan",IDR, / bulan
Fully Furnished and Comfy Studio Apartment Vittoria Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment Studio 1 29 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,29 sqm,5.0,"
                                        Cengkareng, Apartemen Vittoria Residence
                                    ",2 Orang,"IDR
3,287,000
 / bulan",IDR, / bulan
Elegant and Comfortable 1BR Apartment Arumaya Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 1 1 44 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,44 sqm,5.0,"
                                        Lebak Bulus, Apartemen Arumaya Residence
                                    ",2 Orang,"IDR
11,600,000
 / bulan",IDR, / bulan
Homey Studio Apartment at Capitol Suites By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 36 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,36 sqm,5.0,"
                                        Senen, Apartemen Capitol Suites
                                    ",2 Orang,"IDR
9,700,000
 / bulan",IDR, / bulan
Comfort Living Bassura City Studio Apartment near Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 20 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,20 sqm,4.9,"
                                        Cipinang, Apartemen Bassura City
                                    ",2 Orang,"IDR
3,500,000
 / bulan",IDR, / bulan
Simple and Cozy Studio at Green Palace Kalibata Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 17 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,17 sqm,5.0,"
                                        Kalibata, Apartemen Green Palace Kalibata
                                    ",2 Orang,"IDR
4,040,000
 / bulan",IDR, / bulan
Modern 2BR With City View at Pancoran Riverside Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 2 1 32 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,32 sqm,4.9,"
                                        Pancoran, Apartemen Pancoran Riverside
                                    ",3 Orang,"IDR
3,900,000
 / bulan",IDR, / bulan
Strategic 1BR at Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 1 1 25 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,25 sqm,4.9,"
                                        Cipinang, Apartemen Bassura City
                                    ",2 Orang,"IDR
4,000,000
 / bulan",IDR, / bulan
Golf View 2BR at The Mansion Kemayoran Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 57 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,57 sqm,5.0,"
                                        Kemayoran, Apartemen The Mansion Bougenville Kemayoran
                                    ",4 Orang,"IDR
6,500,000
 / bulan",IDR, / bulan
Compact Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,500,000
 / bulan",IDR, / bulan
Cozy and Elegant 3BR Apartment for 6 Pax at Taman Rasuna Kuningan By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 3 2 89 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,3,2,Full Furnished,89 sqm,5.0,"
                                        Rasuna Said, Apartemen Taman Rasuna Kuningan
                                    ",6 Orang,"IDR
10,540,000
 / bulan",IDR, / bulan
Modern 2BR at Seasons City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 41 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,41 sqm,4.9,"
                                        Tambora, Apartemen Seasons City Latumenten
                                    ",4 Orang,"IDR
5,800,000
 / bulan",IDR, / bulan
Chic and Cozy Studio Apartment Green Palace Kalibata By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        Kalibata, Apartemen Green Palace Kalibata
                                    ",2 Orang,"IDR
3,590,000
 / bulan",IDR, / bulan
Combined and Comfort Stay 2BR Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 2 57 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,57 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",4 Orang,"IDR
7,500,000
 / bulan",IDR, / bulan
Luxurious Studio Room At Menteng Park Apartment by Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 32 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,32 sqm,4.9,"
                                        Menteng, Apartemen Menteng Park
                                    ",2 Orang,"IDR
8,290,000
 / bulan",IDR, / bulan
Cozy Living 2BR Apartment at Vittoria Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 43 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,43 sqm,New,"
                                        Cengkareng, Apartemen Vittoria Residence
                                    ",3 Orang,"IDR
5,090,000
 / bulan",IDR, / bulan
Homey and Minimalist Style Studio Apartment at Tokyo Riverside PIK 2 By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
2,640,000
 / bulan",IDR, / bulan
Homey 2BR Apartment at Citra Living By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment 2 1 41 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,41 sqm,5.0,"
                                        Kalideres, Apartemen Citra Living
                                    ",3 Orang,"IDR
6,140,000
 / bulan",IDR, / bulan
Good Price and Homey 1BR at Gold Coast Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 44 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,44 sqm,4.8,"
                                        Pantai Indah Kapuk, Apartemen Gold Coast
                                    ",2 Orang,"IDR
11,500,000
 / bulan",IDR, / bulan
Exclusive Studio at Gold Coast Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 44 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,44 sqm,5.0,"
                                        Pantai Indah Kapuk, Apartemen Gold Coast
                                    ",2 Orang,"IDR
8,890,000
 / bulan",IDR, / bulan
Cozy Stay 2BR Green Bay Pluit Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 1 35 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,35 sqm,4.9,"
                                        Pluit, Apartemen Green Bay Pluit
                                    ",3 Orang,"IDR
4,540,000
 / bulan",IDR, / bulan
Pool View 2BR Apartment at Casablanca East Residences By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 1 30 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,30 sqm,4.8,"
                                        Pondok Bambu, Apartemen Casablanca East Residence
                                    ",3 Orang,"IDR
2,475,000
 / bulan",IDR, / bulan
Great Location 2BR Apartment Seasons City Latumenten By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment 2 1 41 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,41 sqm,New,"
                                        Tambora, Apartemen Seasons City Latumenten
                                    ",4 Orang,"IDR
5,940,000
 / bulan",IDR, / bulan
Cozy Stay Studio at 38th Floor Tokyo Riverside PIK 2 Apartment By Travelio,,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,650,000
 / bulan",IDR, / bulan
Good Deal and Homey Studio Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 24 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,24 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",2 Orang,"IDR
4,340,000
 / bulan",IDR, / bulan
Comfort and Minimalist 1BR Puri Orchard Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment 1 1 35 sqm | New |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,35 sqm,New,"
                                        Cengkareng, Apartemen Puri Orchard
                                    ",2 Orang,"IDR
4,290,000
 / bulan",IDR, / bulan
